,movie_title,genres,language,title_year,duration,imdb_score,Action,Adventure,Animation,Biography,Comedy,Crime,Drama,Family,Fantasy,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western,is_english
58,WALL·E ,Adventure|Animation|Family|Sci-Fi,English,2008.0,98.0,8.4,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
59,Rush Hour 3 ,Action|Comedy|Crime|Thriller,English,2007.0,91.0,6.2,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
60,2012 ,Action|Adventure|Sci-Fi,English,2009.0,158.0,5.8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
61,A Christmas Carol ,Animation|Drama|Family|Fantasy,English,2009.0,96.0,6.8,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
62,Jupiter Ascending ,Action|Adventure|Sci-Fi,English,2015.0,127.0,5.4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
63,The Legend of Tarzan ,Action|Adventure|Drama|Romance,English,2016.0,110.0,6.6,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
64,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe ",Adventure|Family|Fantasy,English,2005.0,150.0,6.9,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
65,X-Men: Apocalypse ,Action|Adventure|Sci-Fi,English,2016.0,144.0,7.3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
66,The Dark Knight ,Action|Crime|Drama|Thriller,English,2008.0,152.0,9.0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
67,Up ,Adventure|Animation|Comedy|Family,English,2009.0,96.0,8.3,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
68,Monsters vs. Aliens ,Action|Adventure|Animation|Comedy|Family|Sci-Fi,English,2009.0,94.0,6.5,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
69,Iron Man ,Action|Adventure|Sci-Fi,English,2008.0,126.0,7.9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
70,Hugo ,Adventure|Drama|Family|Mystery,English,2011.0,126.0,7.5,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1
71,Wild Wild West ,Action|Comedy|Sci-Fi|Western,English,1999.0,106.0,4.8,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
72,The Mummy: Tomb of the Dragon Emperor ,Action|Adventure|Fantasy|Horror|Thriller,English,2008.0,112.0,5.2,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1
73,Suicide Squad ,Action|Adventure|Comedy|Sci-Fi,English,2016.0,123.0,6.9,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
74,Evan Almighty ,Comedy|Family|Fantasy,English,2007.0,96.0,5.4,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
75,Edge of Tomorrow ,Action|Adventure|Sci-Fi,English,2014.0,113.0,7.9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
76,Waterworld ,Action|Adventure|Sci-Fi|Thriller,English,1995.0,176.0,6.1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
77,G.I. Joe: The Rise of Cobra ,Action|Adventure|Sci-Fi|Thriller,English,2009.0,118.0,5.8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
78,Inside Out ,Adventure|Animation|Comedy|Drama|Family|Fantasy,English,2015.0,95.0,8.3,0,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
79,The Jungle Book ,Adventure|Drama|Family|Fantasy,English,2016.0,106.0,7.8,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
80,Iron Man 2 ,Action|Adventure|Sci-Fi,English,2010.0,124.0,7.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
81,Snow White and the Huntsman ,Action|Adventure|Drama|Fantasy,English,2012.0,132.0,6.1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
82,Maleficent ,Action|Adventure|Family|Fantasy|Romance,English,2014.0,97.0,7.0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1
83,Dawn of the Planet of the Apes ,Action|Adventure|Drama|Sci-Fi,English,2014.0,130.0,7.6,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
85,47 Ronin ,Action|Adventure|Drama|Fantasy,English,2013.0,128.0,6.3,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
86,Captain America: The Winter Soldier ,Action|Adventure|Sci-Fi,English,2014.0,136.0,7.8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
87,Shrek Forever After ,Adventure|Animation|Comedy|Family|Fantasy,English,2010.0,93.0,6.4,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
88,Tomorrowland ,Action|Adventure|Family|Mystery|Sci-Fi,English,2015.0,130.0,6.5,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1
89,Big Hero 6 ,Action|Adventure|Animation|Comedy|Drama|Family|Sci-Fi,English,2014.0,102.0,7.9,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1
90,Wreck-It Ralph ,Adventure|Animation|Comedy|Family|Sci-Fi,English,2012.0,101.0,7.8,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
91,The Polar Express ,Adventure|Animation|Family|Fantasy,English,2004.0,100.0,6.6,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
92,Independence Day: Resurgence ,Action|Adventure|Sci-Fi,English,2016.0,120.0,5.5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
93,How to Train Your Dragon ,Adventure|Animation|Family|Fantasy,English,2010.0,98.0,8.2,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
94,Terminator 3: Rise of the Machines ,Action|Sci-Fi,English,2003.0,109.0,6.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
95,Guardians of the Galaxy ,Action|Adventure|Sci-Fi,English,2014.0,121.0,8.1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
96,Interstellar ,Adventure|Drama|Sci-Fi,English,2014.0,169.0,8.6,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
97,Inception ,Action|Adventure|Sci-Fi|Thriller,English,2010.0,148.0,8.8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
99,The Hobbit: An Unexpected Journey ,Adventure|Fantasy,English,2012.0,182.0,7.9,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
100,The Fast and the Furious ,Action|Crime|Thriller,English,2001.0,106.0,6.7,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
101,The Curious Case of Benjamin Button ,Drama|Fantasy|Romance,English,2008.0,166.0,7.8,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1
102,X-Men: First Class ,Action|Adventure|Sci-Fi,English,2011.0,132.0,7.8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
103,The Hunger Games: Mockingjay - Part 2 ,Adventure|Sci-Fi,English,2015.0,137.0,6.6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
104,The Sorcerer's Apprentice ,Action|Adventure|Family|Fantasy,English,2010.0,109.0,6.1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
105,Poseidon ,Action|Adventure|Drama|Thriller,English,2006.0,98.0,5.6,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
106,Alice Through the Looking Glass ,Adventure|Family|Fantasy,English,2016.0,113.0,6.4,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
107,Shrek the Third ,Adventure|Animation|Comedy|Family|Fantasy,English,2007.0,93.0,6.1,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
108,Warcraft ,Action|Adventure|Fantasy,English,2016.0,123.0,7.3,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
109,Terminator Genisys ,Action|Adventure|Sci-Fi,English,2015.0,126.0,6.6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
110,The Chronicles of Narnia: The Voyage of the Dawn Treader ,Adventure|Family|Fantasy,English,2010.0,113.0,6.3,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
111,Pearl Harbor ,Action|Drama|History|Romance|War,English,2001.0,184.0,6.1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1
112,Transformers ,Action|Adventure|Sci-Fi,English,2007.0,144.0,7.1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
113,Alexander ,Action|Adventure|Biography|Drama|History|Romance|War,English,2004.0,206.0,5.5,1,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1
114,Harry Potter and the Order of the Phoenix ,Adventure|Family|Fantasy|Mystery,English,2007.0,138.0,7.5,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1
115,Harry Potter and the Goblet of Fire ,Adventure|Family|Fantasy|Mystery,English,2005.0,157.0,7.6,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1
116,Hancock ,Action|Drama,English,2008.0,102.0,6.4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
117,I Am Legend ,Drama|Horror|Sci-Fi,English,2007.0,104.0,7.2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1
118,Charlie and the Chocolate Factory ,Adventure|Comedy|Family|Fantasy,English,2005.0,115.0,6.7,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
119,Ratatouille ,Animation|Comedy|Family|Fantasy,English,2007.0,111.0,8.0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
120,Batman Begins ,Action|Adventure,English,2005.0,128.0,8.3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
121,Madagascar: Escape 2 Africa ,Action|Adventure|Animation|Comedy|Family,English,2008.0,89.0,6.7,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
122,Night at the Museum: Battle of the Smithsonian ,Adventure|Comedy|Family|Fantasy,English,2009.0,105.0,5.9,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
123,X-Men Origins: Wolverine ,Action|Adventure|Fantasy|Sci-Fi|Thriller,English,2009.0,119.0,6.7,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1
124,The Matrix Revolutions ,Action|Sci-Fi,English,2003.0,129.0,6.7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
125,Frozen ,Adventure|Animation|Comedy|Family|Fantasy|Musical,English,2013.0,102.0,7.6,0,1,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1
126,The Matrix Reloaded ,Action|Sci-Fi,English,2003.0,138.0,7.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
127,Thor: The Dark World ,Action|Adventure|Fantasy,English,2013.0,112.0,7.1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
128,Mad Max: Fury Road ,Action|Adventure|Sci-Fi|Thriller,English,2015.0,120.0,8.1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
129,Angels & Demons ,Mystery|Thriller,English,2009.0,146.0,6.7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
130,Thor ,Action|Adventure|Fantasy,English,2011.0,115.0,7.0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
131,Bolt ,Adventure|Animation|Comedy|Drama|Family,English,2008.0,96.0,6.9,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
132,G-Force ,Action|Adventure|Animation|Comedy|Family|Fantasy|Sci-Fi,English,2009.0,88.0,5.1,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1
133,Wrath of the Titans ,Action|Adventure|Fantasy,English,2012.0,99.0,5.8,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
134,Dark Shadows ,Comedy|Fantasy|Horror,English,2012.0,113.0,6.2,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
135,Mission: Impossible - Rogue Nation ,Action|Adventure|Thriller,English,2015.0,131.0,7.4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
136,The Wolfman ,Drama|Fantasy|Horror|Thriller,English,2010.0,119.0,5.8,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1
137,The Legend of Tarzan ,Action|Adventure|Drama|Romance,English,2016.0,110.0,6.6,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
138,Bee Movie ,Adventure|Animation|Comedy|Family,English,2007.0,91.0,6.2,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
139,Kung Fu Panda 2 ,Action|Adventure|Animation|Comedy|Family,English,2011.0,90.0,7.3,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
140,The Last Airbender ,Action|Adventure|Family|Fantasy,English,2010.0,103.0,4.2,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
141,Mission: Impossible III ,Action|Adventure|Thriller,English,2006.0,124.0,6.9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
142,White House Down ,Action|Drama|Thriller,English,2013.0,131.0,6.4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
143,Mars Needs Moms ,Action|Adventure|Animation|Comedy|Family|Sci-Fi,English,2011.0,88.0,5.4,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
144,Flushed Away ,Adventure|Animation|Comedy|Family,English,2006.0,85.0,6.7,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
145,Pan ,Adventure|Family|Fantasy,English,2015.0,111.0,5.8,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
146,Mr. Peabody & Sherman ,Adventure|Animation|Comedy|Family|Sci-Fi,English,2014.0,92.0,6.9,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
147,Troy ,Adventure,English,2004.0,196.0,7.2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
148,Madagascar 3: Europe's Most Wanted ,Adventure|Animation|Comedy|Family,English,2012.0,93.0,6.9,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
149,Die Another Day ,Action|Adventure|Thriller,English,2002.0,133.0,6.1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
150,Ghostbusters ,Action|Comedy|Fantasy|Sci-Fi,English,2016.0,116.0,5.5,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
151,Armageddon ,Action|Adventure|Sci-Fi|Thriller,English,1998.0,153.0,6.6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
152,Men in Black II ,Action|Adventure|Comedy|Family|Fantasy|Mystery|Sci-Fi,English,2002.0,88.0,6.1,1,1,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1
153,Beowulf ,Action|Adventure|Animation|Fantasy,English,2007.0,115.0,6.3,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
154,Kung Fu Panda 3 ,Action|Adventure|Animation|Comedy|Family,English,2016.0,95.0,7.2,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
155,Mission: Impossible - Ghost Protocol ,Action|Adventure|Thriller,English,2011.0,133.0,7.4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
156,Rise of the Guardians ,Adventure|Animation|Family|Fantasy,English,2012.0,97.0,7.3,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
157,Fun with Dick and Jane ,Comedy|Crime,English,2005.0,90.0,6.1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
158,The Last Samurai ,Action|Drama|History|War,English,2003.0,154.0,7.7,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1
159,Exodus: Gods and Kings ,Action|Adventure|Drama,English,2014.0,150.0,6.1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
